Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Porsche,911,2022,3,379,331,4,101200
Lamborghini,Huracan,2021,5.2,630,443,2.8,274390
Ferrari,488 GTB,2022,3.9,661,561,3,333750
Audi,R8,2022,5.2,562,406,3.2,142700
McLaren,720S,2021,4,710,568,2.7,298000
BMW,M8,2022,4.4,617,553,3.1,130000
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,118500
Chevrolet,Corvette,2021,6.2,490,465,2.8,59900
Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,81000
Nissan,GT-R Nismo,2021,3.8,600,481,2.5,212000
Aston Martin,DB11,2021,5.2,630,516,3.5,201495
Bugatti,Chiron,2021,8,1500,1180,2.4,3000000
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,61000
Jaguar,F-Type,2022,3,296,295,5.4,70100
Koenigsegg,Jesko,2021,5,1280,1015,2.5,2800000
Lexus,LC 500,2021,5,471,398,4.4,92950
Lotus,Evora GT,2021,3.5,416,317,3.8,104450
Maserati,GranTurismo,2021,4.7,454,384,4.8,150000
Porsche,Boxster,2021,2,300,280,4.7,62000
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,78000
Ariel,Atom,2021,2,320,243,2.8,75000
Bentley,Continental GT,2021,6,626,664,3.6,225000
McLaren,Artura,2022,3,671,531,3,225000
Mercedes-AMG,SLS AMG,2021,6.2,622,468,3.5,248000
Pagani,Huayra,2021,6,720,737,2.8,2800000
Polestar,1,2021,2,600,738,4.1,155000
Rimac,Nevera,2022,9999,1914,1696,1.85,2400000
Porsche,Cayman GT4,2022,4,414,309,3.8,100200
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,517770
Ferrari,SF90 Stradale,2021,4,986,590,2.5,625000
Audi,RS7,2022,4,591,590,3.5,117000
McLaren,Artura,2021,3,671,531,3,225000
BMW,M4,2022,3,503,479,3.8,72800
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.2,222000
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,64695
Ford,GT,2022,3.5,660,550,3,500000
Nissan,370Z Nismo,2021,3.7,350,276,4.5,45690
Porsche,Taycan 4S,2022,3.8,562,479,3.8,104000
Lamborghini,Urus,2021,4,641,626,3.5,218000
Ferrari,Roma,2021,3.9,611,561,3.3,222000
Audi,RS3,2022,2.5,394,369,3.9,57000
McLaren,GT,2021,4,612,465,3.1,210000
BMW,i8,2020,2.5,369,420,4.2,148500
Mercedes-Benz,CLS63 AMG,2019,4,603,627,3.4,132000
Porsche,Cayman,2021,2,300,280,5.1,58900
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,518000
Ferrari,SF90 Stradale,2021,4,986,590,2.5,625000
Audi,RS3,2022,2.5,394,369,3.9,56200
McLaren,570S,2021,3.8,562,443,2.8,192500
BMW,M4,2022,3,503,479,3.8,71800
Mercedes-Benz,AMG C63,2021,4,503,516,3.8,68000
Chevrolet,Camaro SS,2021,6.2,455,455,4.1,42500
Ford,Mustang GT,2022,5,460,420,4.3,39000
Nissan,370Z Nismo,2021,3.7,350,276,4.8,46100
Aston Martin,Vantage,2021,4,503,505,3.5,142100
Lotus,Evora GT,2021,3.5,416,317,3.8,105000
Porsche,Panamera,2021,2.9,325,331,5.1,87200
Lamborghini,Urus,2021,4,641,627,3.2,218000
Ferrari,Roma,2021,3.9,612,560,3.4,222000
Audi,S5,2022,3,349,369,4.4,52500
McLaren,600LT,2021,3.8,592,457,2.8,241000
BMW,M5,2022,4.4,600,553,3.2,103500
Aston Martin,Vantage,2022,4,503,505,3.5,146000
Audi,RS5,2021,2.9,444,443,3.6,75400
BMW,M2,2022,3,405,406,4,58900
Chevrolet,Camaro SS,2021,6.2,455,455,4,42900
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,78595
Ford,GT,2021,3.5,660,550,3,500000
Jaguar,F-Type,2022,2,296,295,5.4,62750
Lamborghini,Aventador,2021,6.5,770,531,2.9,417826
Maserati,GranTurismo,2021,4.7,454,384,4.8,150980
McLaren,Artura,2022,3,671,531,3,225000
Mercedes-Benz,C63 AMG,2021,4,503,516,3.8,70100
Nissan,370Z,2021,3.7,332,270,5,30090
Porsche,Panamera,2022,2.9,325,331,5.3,88700
Audi,TT RS,2021,2.5,394,354,3.6,67600
BMW,M4,2022,3,473,406,4.1,72800
Chevrolet,Corvette Stingray,2021,6.2,490,465,2.8,59900
Ferrari,F8 Tributo,2021,3.9,710,568,2.8,274280
Ford,Mustang Mach 1,2021,5,480,420,4.3,52915
Lamborghini,Urus,2021,4,641,627,3.6,218009
Porsche,718 Cayman,2022,2,300,280,4.5,61000
Acura,NSX,2022,3.5,573,476,2.9,159495
Aston Martin,Vantage,2022,4,503,505,3.5,142086
Bentley,Continental GT,2021,6,626,664,3.3,219800
Bugatti,Chiron,2022,8,1500,1180,2.4,3000000
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,74290
Jaguar,F-Type,2022,3,380,339,4.9,71900
Koenigsegg,Jesko,2022,5,1600,1106,2.5,3000000
Lexus,LC 500,2022,5,471,398,4.4,92950
Lotus,Evora GT,2021,3.5,416,317,3.8,105000
Maserati,GranTurismo,2022,4.7,454,384,4.7,134300
Mazda,MX-5 Miata,2021,2,181,151,6.5,26830
McLaren,GT,2022,4,620,465,3.1,213195
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,221580
Pagani,Huayra,2022,6,764,738,2.8,2800000
Porsche,718 Cayman GT4,2022,4,414,309,4.2,100550
Rimac,Nevera,2022,9999,1914,1696,1.95,2400000
Rolls-Royce,Wraith,2021,6.8,624,605,4.4,330000
Tesla,Roadster,2022,9999,1000,737,1.9,200000
Toyota,Supra,2022,3,382,368,3.9,43090
W Motors,Fenyr Supersport,2022,3.8,800,723,2.7,1700000
Porsche,718 Cayman,2022,2,300,280,4.7,60500
Lamborghini,Aventador,2021,6.5,770,531,2.9,522000
Ferrari,SF90 Stradale,2021,4,986,590,2.5,625000
Audi,TT RS,2022,2.5,394,354,3.4,67000
McLaren,GT,2021,4,612,465,3.1,212500
BMW,M4,2022,3,503,479,3.8,75000
Mercedes-Benz,SL 63 AMG,2021,4,603,664,3.5,155000
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,64000
Ford,GT,2022,3.5,660,550,2.8,500000
Nissan,370Z,2021,3.7,332,270,4.7,31015
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,304995
Bugatti,Chiron,2021,8,1500,1180,2.4,3000000
Lotus,Evora GT,2021,3.5,416,317,3.8,105000
McLaren,570S,2021,3.8,562,443,3.2,192500
Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642,3.2,190000
Lamborghini,Urus,2021,4,641,627,3.6,222000
Ferrari,Roma,2021,3.9,611,561,3.3,222000
Audi,RS7,2021,4,591,590,3.5,115000
BMW,M2,2022,3,405,406,4.2,59000
Porsche,Cayman GT4,2022,4,414,309,4.2,102100
Lamborghini,Aventador,2021,6.5,730,509,2.9,417826
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,304995
Bentley,Continental GT,2021,6,626,664,3.6,220300
Audi,RS7,2022,4,591,590,3.5,114000
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.7,239100
McLaren,570S,2021,3.8,562,443,3.1,192500
BMW,M2,2022,3,405,406,4,58900
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,62500
